latitude,longitude,previousSpeed,speed,gpsSpeed,speedLimit,accX,accY,accZ,Anticipation,drivingSkill,selfConfidence,drivingScore,drivingStyle,driverState,createdAt,braking,acceleration,cornering,,,,
0,0,1,6.592734575,6.593,0,-1,-1.061815,9.46152,5.639584,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.017
0,0,1,6.142669344,6.143,0,-1,-0.62721866,9.06491,5.65753,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.017
0,0,1,6.142669344,6.143,0,-1,-1.8873389,5.6931233,4.1231327,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.017
0,0,1,6.142669344,6.143,0,-1,-2.3276181,7.5320077,5.107779,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.017
0,0,1,6.142669344,6.143,0,-1,-0.14745769,9.31466,4.0923247,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.017
0,0,1,6.142669344,6.143,0,-1,-3.9116669,10.590932,7.0558357,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.017
0,0,-100,6.119917774,6.12,0,-1,-0.9388838,9.466006,3.12054,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,1,6.119917774,6.12,0,-1,2.475375,9.64487,3.0173492,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,1,6.119917774,6.12,0,-1,-0.78693956,9.64487,4.898407,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,1,6.119917774,6.12,0,-1,-2.3425734,7.6719875,6.72772,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,1,6.119917774,6.12,0,-1,-2.0255244,7.502396,4.034299,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,-100,6.119917774,6.12,0,-1,-0.91166544,10.165309,4.848158,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,1,6.119917774,6.12,0,-1,1.5302101,8.953942,3.3101711,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,1,6.119917774,3.633,0,-1,-0.74207413,9.704989,5.6336017,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,-100,3.632908773,3.633,0,-1,-2.695814,10.158729,3.5204403,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,1,3.632908773,3.633,0,-1,0.46241298,8.539984,4.9606204,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,1,3.632908773,3.633,0,-1,-0.18693927,10.547563,4.4928236,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,1,3.632908773,3.633,0,-1,0.14895321,8.649157,3.0643084,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,1,3.632908773,3.633,0,-1,-0.68494546,8.774481,6.2342005,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,1,3.632908773,3.633,0,-1,0.6795616,8.422437,3.972684,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,1,3.632908773,3.633,0,-1,-2.233999,10.382756,6.6478596,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,1,3.632908773,3.633,0,-1,-1.527219,8.575876,3.4974093,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.018
0,0,-100,5.805707932,5.806,0,-1,-1.4650056,11.140983,4.9845486,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.021
0,0,1,5.805707932,5.806,0,-1,-1.7395821,8.213364,3.4764721,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.021
0,0,1,5.805707932,5.806,0,-1,-0.023629123,8.751151,3.6122649,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.021
0,0,1,5.805707932,5.806,0,-1,-0.71246296,9.345169,6.734599,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.021
0,0,1,5.805707932,5.806,0,-1,-1.2179468,9.491729,6.079265,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.021
0,0,1,8.92066412,8.921,0,-1,-1.2807583,10.0830555,5.8630137,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,1,8.92066412,8.921,0,-1,0.33379877,8.767003,2.2779672,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,8.92066412,8.921,0,-1,-1.771287,9.8321085,7.515557,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,8.92066412,8.921,0,-1,1.6444674,8.455338,1.6438692,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
